Secondary_sample_accession,Classified,Unclassified
HCLVMBCX2-3505-09-00-01_S9,3553817,13536006
MTM013.A0101,2503611,4571895
CDM054.A0101.SG1,1353850,7758352
NMU117.A0101,4605978,6622653
CMC029.A0201.SG1,5859071,2416355
KNP001.A0102,4141740,12061785
SRR17524420,37794,326
SRS475649,460372,128596
2090,3700402,11693666
ERR1883420,148585,534745
ESA008.A0101,3186182,5895072
MTM013.A0101,2503611,4571895
ERR5729631,8351238,26455721
BAN001.A0101,280527,9751191
SA-009,4386029,9259708
KT33calc,2861644,3746203
SRR6877324,4498960,4314376
NMU128.A0101,4385788,6946656
CDM048.F0101.SG1,5339817,6259323
ECO010.B0101,1667110,10509869
CMC027.A0201.SG1,5384994,3675543
25C,2532800,6342816
SRR17523832,44639,101
SRS476140,148063,71747
TAP001.B0101,5023573,6493003
ERS9656254,465265,2272273
SRR1761721,31725567,11938237
SRS015215,33733160,7408878
2081,3252604,7627241
HCLVMBCX2-3505-15-00-01_S15,2735023,7952839
CDM047.Z0101.SG1,1436644,4955400
CDM051.S0101.SG1,4149236,7252733
CDM041.U0101.SG1,2203882,10148878
SRR11176640,15811771,8945374
ERR5729648,8511268,15606950
CDM051.V0101.SG1,3958865,5192146
Abusir1511c,753313,2872037
MAWB10,23892787,24314441
CMC022.A0101.SG1,16344914,4526868
EBO008.A0101,1840899,9719257
SRR17524266,39481,69
SRS475707,148744,57987
MID031.A0101,2487553,3660260
ERS9656266,4605,29848
ERR1883436,24853,89111
SRS014894,23375135,3178167
MID041.A0101,4107408,5163692
CS39,4239402,5036711
ABM008.A0101,529178,4485351
CDM051.A0101.SG1,4036681,5864343
ERR5729660,55321,190842
ABM008.A0101,529178,4485351
CDM049.D0101.SG1,2971346,7311203
JAE009.A0101,46158819,19759068
MOA001.A0102,2638024,5793874
CMC009.B0101.SG1,11188561,2765708
13C,6911805,15316023
SRR17524433,28645,197
SRS476146,72374,58921
VLC004.A0101,30254300,12917036
ERS9656253,10430020,27278800
SRR1631061,21787491,9781882
SRS045197,41861945,11752055
VLC009.A0101,26699947,6851696
SRS047100,32765631,4340982
SRS018359,8362763,1170726
SRR1646033,545768,633909
CMC041.A0201.SG1,9606161,3700902
ERR1474569,8667576,3833472
OME003.A0101,2975738,10939970
DJA007.A0101,2442034,14908173
BB06,10309668,30366816
MTM012.A0101,5063567,5504870
SRR17524356,43448,254
ESA003.A0101,4433773,5658964
SRS475975,115486,44666
ERS9656258,2973714,5633518
SRR1761705,32934394,10197693
SRS017088,9698811,1092512
ANN002.A0101,4555268,5100331
2084,4254436,11196065
ERR5729661,17395,106371
MID073.A0101,5654538,6336718
ECO006.B0101,1302967,9125110
KNP004.A0102,49922,134232
2104,10774152,17292472
2089,4898723,6831060
CDM042.M0101.SG1,4220412,5873882
HCLVMBCX2-3505-05-00-01_S5,736002,4774647
KNP004.A0102,49922,134232
CMC033.B0201.SG1,10200560,2906012
SRR17524352,27411,201
KT16calc,1453212,2430278
SRS475619,1448743,344925
ERS9656264,7008027,29616893
ERR1883418,225503,625289
SRS063603,33667584,10622085
AKI001.A0101,2332695,6812318
MID053.A0101,4200815,6472932
MID062.A0101,3539286,4380759
FUM003.A0101,7347072,8221758
KT09calc,1302481,3327306
KT01calc,4886386,5664921
ARS011.A0101,2165511,16074652
ERR5729647,7864919,18229361
GDN001.B0101,2705623,12367137
ERR5729633,12712602,26118269
ERR5729649,8475888,17067202
CMC005.A0202.SG1,9859677,3015884
18C,4068284,9826510
SRR17524675,15866,96
ECO002.C0101,1778084,9959104
SRS476190,63214,48870
ERS9656246,25380580,14172295
ERR1883438,28903,55096
SRS023538,20449535,7151407
ARS011.A0101,2165511,16074652
2099,5497776,13535266
HCLVMBCX2-3505-31-00-01_S31,960292,2995803
CDM048.D0101.SG1,3637175,7679066
MID091.A0101,6171284,7486681
CS44,5108058,4265294
KT24calc,2207147,4157886
CMC018.B0101.SG1,9807771,4884781
07C,3609621,7928901
SRR17523801,42985,56
SRS476210,72027,41849
MID047.A0101,3326821,3649618
CS37,7796630,14525738
ARS015.A0101,4142870,25756526
MID087.A0101,4665172,3595507
2086,4362679,9168641
CDM043.P0101.SG1,2452223,4358245
ATT001.A0101,5446186,7460017
ARS015.A0101,4142870,25756526
DJA002.A0101,1544639,10378508
MID089.A0101,3897724,5415240
CS07,4719775,4656062
SRR11176627,14963844,18586671
CMC040.B0101.SG1,14133350,4500999
SRR17524354,41270,104
SRR5297130,2165195,4719097
SRS475587,45207,28395
ERS9656270,19283835,25098310
SRR1631060,21189192,9549820
GDC005.A0101,1916339,7819580
SRS063999,42064583,10289795
SIG036.A0101,1916655,9741906
DJA002.A0101,1544639,10378508
SRR11176630,7265710,8273658
SRR6877323,4265405,7660106
CDM050.L0101.SG1,2912439,5056300
SRR11176635,9129168,7856041
HCLVMBCX2-3505-08-00-01_S8,3025198,8348073
MID056.A0101,6025495,5343609
ANK001.A0101,2416156,8406280
CMC029.B0201.SG1,12552788,2905952
SRR17524332,39603,93
PYK002.A0101,6029215,11143108
SRS475950,161256,60676
ERS9656267,2032,4860
SRS055401,19582658,4531391
2100,280987,505418
CDM042.H0101.SG1,4700403,6500026
TAF016.B0101,571323,3086262
KT10calc,1489352,3241461
Abusir1574c,291513,3250919
CDM048.A0101.SG1,3790333,7601218
CS13,8494254,5329078
CDM052.K0101.SG1,3192619,6734344
OME007.A0101,2677443,8793514
SRR6877288,4058610,7297179
CMB008.A0101,2894486,4903244
KNP005.A0102,2899052,8162359
CMC045.A0201.SG1,8087608,2780425
KNP006.A0102,2397555,8736334
SRR17524558,40372,190
SRS476206,100683,41845
GDC005.A0101,1916339,7819580
SRR1761697,30598833,5329693
SRS019387,19802540,4031413
CDM052.N0101.SG1,4754033,6155420
OME007.A0101,2677443,8793514
KNP005.A0102,2899052,8162359
SA-004,4018010,9051954
KT07calc,2107634,3103369
CS19,4597811,2058276
CDM051.G0101.SG1,3999594,6300368
ERR5729642,10141678,17965208
CMC031.A0201.SG1,9031408,1775348
CDC009.A0101,1384338,12828954
SRR17523820,69723,238
SRS476263,146956,79400
CDM043.U0101.SG1,3611473,5217336
SRR1761682,24502876,4269733
SRS055450,16479056,5187962
SA-001,6970393,8730812
MID058.A0101,4206904,5114408
MAWB3,1057714,1557165
SIG040.A0101,1084601,9338869
AMH003.A0101,3278477,5563398
CDM045.L0101.SG1,4180130,6766740
ERR5729628,9288555,23351188
ERR5729652,8636571,17124264
CMC028.B0101.SG1,11784080,4219455
CDC008.A0101,1175395,13858740
SRR17524400,47594,165
SRS476059,96375,43449
NMU130.A0101,5573372,7082827
SRS015947,30484436,7068622
KT30calc,1835647,3023621
ERR5729614,10211115,27534594
PYK003.A0101,4393133,10302108
MID082.A0101,4107379,7070968
LOB001.A0101,2211940,6545680
FUT018.B0101,636517,8005970
JAE013.A0101,31681038,7177944
ERR5729635,3883684,30302304
LOB001.A0101,2211940,6545680
KT29calc,2664093,3352561
G12,37646647,21922354
CMC020.A0101.SG1,9522393,3180557
SRR17524584,47021,222
SRS475918,61472,41066
MID067.A0101,3921309,5507273
ERS9656257,282,1042
SRS017511,37731769,9721842
ERR5729621,9343393,35056434
AMH002.A0101,3421222,6592653
TAF017.E0101,14106,51469
2097,9044370,13889971
GDN001.A0101,4205628,10826385
KT11calc,1683267,2702783
SA-010,3726509,6547613
CS43,3434457,5190961
VLD001.A0101,1797829,7101756
CMC037.A0201.SG1,7836866,2933646
SRR17524517,51672,181
SRS475917,56219,9739
CS23,7833554,13988375
SRR1631064,24135435,10752230
SRS018157,47756852,13007691
VLC005.A0101,31255768,12729099
SRS016331,27196164,7451272
SRS043239,8869859,1913572
SRR1646037,156269,119990
CMC042.A0201.SG1,11349873,2325831
ERR1474578,4133118,1156490
OME007.A0101,2677443,8793514
24C,2610683,4795690
GDC004.A0101,3128733,9125891
BK2,826638,1773028
SRR17523900,42722,191
NMU121.A0101,4013132,7072247
SRS476055,85872,42102
SRR1633008,16181199,3699036
SRS013836,19518703,5177222
SIG033.A0101,3782236,7721011
SIG035.A0101,3157609,8604276
EFE004.B0101,5070611,6774413
2083,4735041,7555541
SRR11176629,10448220,8402742
MID052.A0101,3790085,6046706
OAK001.A0101,1127750,9972374
HPD005.B0101,4043429,7055199
SRR11176632,3700790,4760519
SRR6877292,5995006,9417508
SIG043.A0101,4273110,7222501
CMC035.B0201.SG1,12948138,3204987
SRR17523812,42987,54
SRS476286,84236,58220
ERR1883419,313325,558995
SRS014476,27540393,7658966
CDM045.S0101.SG1,3528892,8944779
HPD005.B0101,4043429,7055199
ERR5729636,8343389,21898547
MID035.A0101,3049171,3852766
MID025.A0101,3638275,5793871
CDM046.G0101.SG1,3601442,6929940
MID050.A0101,5660674,6951109
CDM049.I0101.SG1,3351275,4737699
CMC023.B0201.SG1,12263521,3061942
SRR17524369,42789,261
SRS476297,178316,71872
SRS021477,40218193,6759494
CDM048.E0101.SG1,2983339,5557696
MID061.A0101,7714069,3297062
MID071.A0101,5189446,4932284
IVE005.A0101,4203987,4386610
HCLVMBCX2-3505-32-00-01_S32,1133380,3107975
CMB006.A0101,4112694,4015731
GOY006.A0102.SG1,4967626,33119930
CMC031.B0201.SG1,13218192,2148037
SRR17524602,244,13
SRS475600,57315,44991
CDM047.B0101.SG1,4923941,6602695
ERS9656262,10013911,53005042
ARS013.A0101,2629781,18413547
SRS015044,33659029,7918211
2091,4506635,7562320
MID074.A0101,1788183,2120212
PYK005.A0101,7916610,13504316
MID063.A0101,3115886,6439632
CS46,5011696,4546768
DLV001.A0101,268358,534603
OME002.A0101,3685601,10280280
MID045.A0101,4636543,5451579
CMC039.B0201.SG1,11974487,2687819
SRR17523953,46499,238
SRS475654,18476,20130
PYK004.A0101,7582692,9080112
ERS9656250,7878549,25231495
SRS019225,17220887,4944157
OME002.A0101,3685601,10280280
OAK003.A0101,4706645,12432123
CDM047.S0101.SG1,3026258,4901852
VLC010.A0101,14307758,4728281
SIG046.A0101,7727090,6427638
ATT002.A0101,5760639,5321644
MAWB11,4923218,6190202
HCLVMBCX2-3505-28-00-01_S28,1737246,5322341
HCLVMBCX2-3505-25-00-01_S25,1068070,3618520
CMC036.A0101.SG1,9920131,3494210
SRR17524506,42326,198
SRS476168,410500,161544
ARS013.A0101,2629781,18413547
ERR5729624,2649851,5732596
CDM045.F0101.SG1,3435101,5701953
CDM042.P0101.SG1,3921014,6182421
MID029.A0101,3992871,3476899
CS02,5432575,7266875
2102,2247989,7518522
CDM048.O0101.SG1,3049228,5802956
CMC024.B0101.SG1,10379385,3738434
SRR17524515,50371,213
SRS476123,68297,34438
MID092.A0101,3416490,7358314
SRS065310,7880375,1714928
CDM049.E0101.SG1,2771535,5351367
CMB001.A0101,3063451,3552740
VLC001.A0101,26714499,7235114
CDM049.K0101.SG1,4523982,5939274
KNP001.A0102,4141740,12061785
SRR11176643,413727,52710
Blank,60608,118208
SRR6877312,2826575,3293881
CS18,3457428,2009592
MID036.A0101,5082214,3934564
CMC002.B0201.SG1,5525324,1253548
SRR17524096,36045,156
SRS475954,482736,157652
SIG045.A0101,1564247,2525767
SRS023938,70468682,13355075
KNP001.A0102,4141740,12061785
KT21calc,1431160,2423250
LIS003.A0101,3916914,6451361
TAP003.B0101,4756250,5979601
VLC008.A0101,29108981,6548174
CS12,2940361,3550738
CDM052.J0101.SG1,3312371,7717076
CDM043.T0101.SG1,3391328,5517164
CMC047.A0201.SG1,12253203,1433021
SRR17524053,61605,422
SRS476865,126880,57886
SRS019906,24790986,8033795
ECO002.B0101,2140879,10663010
CDM041.Y0101.SG1,3259611,6523453
MID080.A0101,2474051,1745031
CDM046.Q0101.SG1,4665877,6565621
LIS002.A0101.SG1,2977712,8536054
MAWB6,10322133,19858719
ERR5729615,7803890,34914377
CMC010.A0101.SG1,10091478,3392400
SRR17523909,27311,176
SRS475961,29122,21970
AHK001.A0101,1531936,5876884
SRS015378,14123357,2011207
CS40,2203619,2564737
MID057.A0101,6136587,7118806
KT20calc,2759130,4509284
EMN001.A0101,3878812,8651367
SRR11176637,697924,232457
ARS017.A0101,5229740,33256413
KT08calc,2679972,1867340
CDM047.V0101.SG1,3459736,4499506
ERR5729640,10219957,18287479
SRR6877290,5186096,4366291
MID066.A0101,4268620,4900373
CDM050.X0101.SG1,4962894,10033606
CMC017.B0201.SG1,10085080,3718417
SRR17524195,49312,572
SRS476310,252914,102269
SRS022536,66987910,17879054
JAE007.A0101,55107673,11167584
SRS013950,16071446,4688619
SRS019124,13964672,2694619
SRR1646045,88559,58225
CMC046.B0201.SG1,9618426,2399001
ERR1474567,9368762,3451392
OME002.A0101,3685601,10280280
16C,4646287,9547002
BB08-T08,4221270,24550713
Gb2-wash,4319970,3478048
SRR17524389,27540,44
CDM041.G0101.SG1,2781532,6810495
SRS475650,31368,19444
ERR1883423,364120,762417
SRS017304,25977822,4689999
ARS017.A0101,5229740,33256413
PLV001.A0101,2472844,8909528
MID068.A0101,3164985,3693354
EBO008.A0101,1840899,9719257
2096,8041146,13173626
IBA001.A0101,3259541,9697594
NMU124.A0101,4250458,6894112
SRR6877284,11324172,12920313
JAE014.A0101,44359736,24083135
RAP002.A0101,3278766,7080348
EBO008.A0101,1840899,9719257
CMC005.B0101.SG1,12083635,2514172
SRR17524600,17807,179
SRS475597,96562,42756
CDM048.N0101.SG1,3104026,6056070
SRS075410,56366121,10951354
IBA001.A0101,3259541,9697594
CDM048.V0101.SG1,4050502,6145558
MID085.A0101,6418177,7349385
MID023.A0101,5156636,2969387
CDM042.W0101.SG1,4940307,5871633
ERR5729651,7418303,16741725
2094,6689244,13813274
CMC030.B0101.SG1,10905438,3584596
SRR17524257,30314,77
SRS475536,105099,33981
ERR5729646,8017572,17048656
SRS064219,1235101,281230
MID024.A0101,3769152,5943510
ERR5729629,8419398,22771159
CS32,12703626,15488197
MID097.A0101,4164062,6375814
TAF008.B0101,3385038,8065488
ANN003.A0101,5201126,5945550
TON001.C0101,1818726,7245798
KT19calc,3327635,3614790
CMC015.A0201.SG1,9290445,2743021
SRR17524355,42814,199
SRS476091,376059,128219
CS33,5087017,5947491
SRS023595,48068103,17232264
MID051.A0101,4354792,4153206
ERR5729617,10519858,22024001
HCLVMBCX2-3505-17-00-01_S17,2626298,8421969
CS26,2085818,2649622
2103,2420394,10121547
ARS001.A0101,3732035,20845669
MID081.A0101,4128847,5838628
CS17,6448547,6525230
CMC044.A0201.SG1,8620638,2028347
SRR17524365,45652,222
SRS475670,162955,63596
CDM049.F0101.SG1,3939348,6088809
SRS022083,18752648,2582658
CS20,8922381,8948012
CDM048.I0101.SG1,2443614,8044245
ARS001.A0101,3732035,20845669
MTS001.A0101,1648301,4869935
KT31calc,4187999,5090125
2092,7225496,10679940
ARS012.A0101,2935418,17496744
HCLVMBCX2-3505-29-00-01_S29,980768,3485210
CSD,515905,50705
CMC001.A0101.SG1,7864759,3638220
SRR17524305,38922,56
SRS476048,205340,80020
MID075.A0101,1594281,3096240
SRS016541,27661271,5066897
CS15,7378954,5088200
MTS001.A0101,1648301,4869935
MID079.A0101,6274509,3632378
MID065.A0101,5894932,4209995
ARS012.A0101,2935418,17496744
CDM046.Y0101.SG1,3220390,5128053
OFN001.A0101,3637859,8716532
CS35,13495912,14130810
PES001.B0101,4705403,7165392
KT23calc,2859486,3752987
CMC001.B0201.SG1,10717441,2941825
SRR17524497,61664,350
SRS475665,130473,40586
SPM002.A0101,553589,794473
SRS022149,13257877,6363136
CDM045.Z0101.SG1,938110,3321936
CS10,10308067,6575936
MOA001.A0101,2168798,4551457
TON005.B0101,3714368,10776299
ERR5729653,9283596,16365196
HCLVMBCX2-3505-10-00-01_S10,1166367,2764961
LIS001.A0101,4202250,6385168
MTM011.A0101,813819,3856728
SA-011,5315340,8606439
SRR6877282,6757559,4389184
CDM046.B0101.SG1,2725548,5238497
CMC013.A0201.SG1,12590120,3565468
SRR17523898,16770,104
SRS476701,104603,43312
TON004.B0101,2543506,9227273
SRS012285,40814360,6962321
CDM048.Z0101.SG1,3383417,6505011
PAH001.A0102,1326566,7343802
NMU131.A0101,1367014,7935453
MTM011.A0101,813819,3856728
FUM001.A0101,2891148,7163383
SRR11176638,2446332,3379011
MID093.A0101,6976011,6849940
FUT021.B0101,2202368,5160494
CMC037.B0201.SG1,14160617,1938886
SRR17523888,60280,246
SRS476102,336757,120484
MID088.A0101,5879622,6135982
SRS011126,54140046,11065016
CDM043.L0101.SG1,3304383,5218007
KT34calc,2254796,3593622
ERR5729627,10853483,24498703
EBO003.A0101,2669484,17795997
ARS004.A0101,2444342,15134913
CDM053.J0101.SG1,873830,5509400
SIG046.A0201,4323455,9408195
CMC002.A0201.SG1,8455869,3137911
SRR17524323,40813,73
SRS475635,65583,43496
KT03calc,1834415,2090087
SRS018394,39161777,9890812
EBO003.A0101,2669484,17795997
NMU123.A0101,2280834,4209576
ARS004.A0101,2444342,15134913
SA-008,5038432,9849300
ERR5729616,12167243,29682943
ECO004.C0101,1302309,8345794
SIG047.A0101,2349137,8235413
CMC012.B0201.SG1,8457420,2086201
SRR17524198,57500,241
SRS476073,67291,42532
MID090.A0101,2590325,1443539
Abusir1504c,755975,3183643
SRS015158,40838749,8896467
JAE010.A0101,45140347,14754699
SRS017814,17557356,4571340
SRS011247,16116210,1699924
SRR1646028,3146443,3062162
CMC021.A0201.SG1,7959566,2868478
ERR1474584,10274756,3873282
02C,3402180,7187630
BIT001.A0101,4085785,19055163
ANSP3271,6271711,15356001
SRR17524587,26411,78
CS27,264263,240299
SRS476200,225807,98787
SRR3189416,15639828,2655463
SRS024355,68449064,15424723
CSS,4372110,2126345
AKI002.A0101,4663567,6595754
CS03,4547972,7119746
MID034.A0101,4501100,6190192
CDM043.Y0101.SG1,4585723,5766354
NMU119.A0101,4571604,6370520
MID038.A0101,3963569,3566460
ERR5729643,8373663,17321153
CMC014.A0101.SG1,10890372,2392416
SRR17523970,53983,210
SRS476282,144681,76657
MID094.A0101,6747454,5309313
SRS064329,37552634,5875573
CDM042.U0101.SG1,3966532,6940706
HCLVMBCX2-3505-24-00-01_S24,1453058,4238873
2095,9062691,12884162
KNP006.A0102,2397555,8736334
HCLVMBCX2-3505-14-00-01_S14,16911409,19360908
ESA007.A0101,3777397,6070350
CDC009.A0101,1384338,12828954
CMC043.A0101.SG1,13024363,2216408
SRR17524353,39956,126
SRS476279,129514,72289
SA-007,4770021,7811922
SRS053630,34195349,6984175
NMU129.A0101,2723803,6443097
Abusir1594c,27127322,216341502
KNP006.A0102,2397555,8736334
CDM042.C0101.SG1,4622493,6281113
CDC008.A0101,1175395,13858740
CDM049.M0101.SG1,2998043,5823736
CDM045.R0101.SG1,4203711,5527577
CDC009.A0101,1384338,12828954
CDM051.Z0101.SG1,3400986,6891585
ERR5729622,7896714,26364807
CDC008.A0101,1175395,13858740
CMC015.B0201.SG1,12601699,3160133
SRR17524590,44678,392
SRS476284,239524,58107
CS11,9924583,8140838
SRS051378,12272302,2575248
HCLVMBCX2-3505-01-00-01_S1,676824,2453744
NMU118.A0101,4135477,6625285
CDM051.I0101.SG1,3445226,6160117
MID028.A0101,3242937,2997942
MID078.A0101,3905896,3675269
ERR5729658,16657,144671
KT14calc,2153380,2573515
KT17calc,1322992,2262164
CMC033.A0201.SG1,11616812,3019795
SRR17523893,62262,258
SRS476353,120129,64457
HCLVMBCX2-3505-04-00-01_S4,1065695,4300077
ANN004.A0101,4967181,5972253
MID046.A0101,2905647,4641035
CS31,10086196,11325304
KT32calc,2241100,3098698
MID042.A0101,4493275,3558384
IVE005.B0101,8454969,6899877
CDM051.U0101.SG1,3446048,6356938
CS30,2596506,2713897
CMC011.A0201.SG1,9516740,4432186
SRR17524585,51696,354
SRS475576,90559,13677
CS21,7725788,8070725
SRS015278,29410372,6528213
CMC009.A0202.SG1,9533987,2013528
SRR17524360,42994,354
SRS475963,174743,55218
NMU120.A0101,6216960,7545795
SRS016092,32339695,3827971
CMC016.B0101.SG1,11321943,3736584
SRR17523897,58489,230
SRS476171,127842,82685
CDM051.D0101.SG1,4070436,5514423
SRR13263124,35974808,31583641
SRS013170,39531583,10042511
CMC025.A0201.SG1,8644421,4093234
SRR17524097,39646,180
SRS476053,83119,38649
SIG034.A0101,4580944,8418362
CMC038.B0101.SG1,7361160,4962298
SRR17524155,47492,137
SRS476006,186094,54242
HPD006.B0101,4596221,5637959
HPD006.B0101,4596221,5637959
CMC030.A0101.SG1,10561640,3598409
SRR17524549,22674,52
SRS476268,84785,34386
MAWB15,16687472,17114862
SRS065099,33507721,8838844
VLC002.A0101,10920583,4772029
SRS013949,43846339,7098803
SRS019587,13787191,1304586
SRR1646029,99865,122954
CMC020.B0101.SG1,11888425,3642064
ERR1474587,33695453,9666808
EBO001.A0101,2189535,13496056
ANSP11833,3657839,6607490
SRR17524398,42983,152
VLC003.A0101,20311882,5697191
SRS476025,136792,60487
ERS9656268,445382,1466546
SRR059455,56679485,7843582
SRS054653,22417043,3352412
CMC007.B0101.SG1,9245048,2315190
SRR17524371,68296,389
SRS475971,80944,44245
CMC001.A0201.SG1,9834713,4565871
SRR17523903,45226,253
SRS475955,326210,88030
SRS049318,51839432,17263339
CMC045.B0201.SG1,10996066,3298916
SRR17524281,44219,86
SRS476275,33178,23728
SRR11176639,10248583,6960884
SRS015650,18363896,2754381
CMC013.B0101.SG1,14266046,2552936
SRR17524501,42047,448
SRS475725,189219,76355
HCLVMBCX2-3505-06-00-01_S6,5052530,19372778
SRS019591,38667171,4666588
CMC022.B0101.SG1,11429515,5167339
SRR17523825,41337,129
SRS475720,192767,86274
CDM041.K0101.SG1,2255169,7735066
SRS058053,36287425,10858819
CMC032.B0101.SG1,558,74
SRR17524235,50652,64
SRS476009,241570,87522
VLC009.A0101,26699947,6851696
SRS024087,38899589,12789111
SRR17523901,53182,216
SRS475937,51020,30068
HCLVMBCX2-3505-11-00-01_S11,969280,2859089
SRS020862,18599756,2956808
SRR17524258,19275,12092
SRS476122,109576,43275
SRS015755,14591236,2911865
SRR17524508,54358,233
SRS475965,72993,44135
CDM049.S0101.SG1,3991704,6142098
SRS016746,42057227,8651669
SRR17524512,44951,75
SRS475687,149062,50117
SRR11176641,5815064,6439358
SRS016043,25369500,4635099
JAE012.A0101,48432658,14142555
SRS019129,10887746,3063987
SRS056892,14625851,1210647
SRR1646030,606931,624771
CMC017.A0201.SG1,5695772,2681946
ERR1474580,55078446,18667827
28C,3014050,5689218
BB05,7253223,20256853
MTM003.A0101,14844482,19617327
SRR17524418,33179,323
CDM045.G0101.SG1,3843434,5541635
SRS475940,81551,48973
SRR059917,71059427,7351383
SRS011343,25806085,5883283
SRR17524592,35311,161
SRS475677,151225,43933
SRS024447,40467226,6750693
SRR17524233,84536,1163
SRS476283,76120,55852
SRS016360,41115053,7676862
SRR17524055,76674,523
SRS476787,255364,87682
SRR17524359,38132,174
PAH003.A0101,1752512,7039831
SRS475985,31213,29652
SRS018975,30828526,5174672
SRR17524507,42296,129
HCLVMBCX2-3505-13-00-01_S13,2323587,5055453
SRS475972,77106,32700
SRS052876,34390923,6555998
SRR17524358,34257,168
SIG044.A0101,1676446,8087407
SRS476208,273724,121936
SRS018337,21988004,3141787
SRR17524366,43515,310
KT02calc,1455327,2456683
SRS476827,197722,90364
SRS011255,22809177,5819953
SRR17523980,48718,165
MID077.A0101,6490608,5849236
SRS475548,44267,22703
SRS049268,33712729,7786840
SRR17524502,46510,193
ERR5729654,8756663,17654218
SRS475599,166690,59533
SRS051941,39880357,8847513
SRR17524505,39344,171
SRS475708,387708,123336
CDC010.A0101,1584140,13394907
SRS043772,18224262,3959302
JAE006.A0101,70923481,16761664
SRS014578,31543316,7046303
SRS011310,13836939,1988760
SRR1646038,1229896,607333
CMC003.A0201.SG1,8394818,2710431
ERR1474577,8118970,2352250
19C,2626428,7266649
BB11,3355475,18034760
WAL001.A0101,2118900,12726459
SRR17524077,51114,237
ERR5729623,7888123,28340041
SRS476304,53298,26879
ERS9656256,979552,3501651
SRR3189411,16697235,3117772
SRS017139,61823885,12850313
